title,image_url,price_inr,rating,review_count,url,asin,brand,search_query,weight_g,unit_weight_g,pack_count,cost_per_gram
BRU Gold Pure Instant Coffee Powder 500g Pack,https://m.media-amazon.com/images/I/711veR+YYaL._AC_UL960_FMwebp_QL65_.jpg,1249.0,,,https://www.amazon.in/Gold-Pure-Instant-Coffee-Powder/dp/B0HFG7RVBP/ref=sr_1_9?dib=eyJ2IjoiMSJ9.srmpY5N-mflHuVr4ZWL-nZ_xIZnjGRn1vjZrrDr-ldBKlfnyb43h1OB5CB4WwBQ0hTvGyI2pclT7arv2ygehAIBmfjgXiB-KAKYXGaLV9KuiWWTWaXekS1ecwZW7FJIuAyUY3ChzeEAg0qCYDrXbQ74VKQEnLJusPGXpcfLte-wAHU-RFQHmR3tXoyrVoQ0j8JahaYhqB8nsv-yPDdURtqA_QBsnERG_CivjPC6rqbepMCJ6xk8853YgxSZJiQ5STgPGnFNnJzA14nXos3QbUXq6GAD8tL-a_TXIqwB-qCY.s_e_72SX-zGeY-bKcC8lPYhUWZWFEEizbOSMgncPKQg&dib_tag=se&keywords=Bru+Gold+instant+coffee&nsdOptOutParam=true&qid=1789844094&sr=8-9,B0HFG7RVBP,Bru Gold,Bru Gold instant coffee,500.0,500.0,,2.5
BRU Gold Instant Coffee 500 g,https://m.media-amazon.com/images/I/61TX6oNsxxS._AC_UL960_FMwebp_QL65_.jpg,1345.0,4.3,435.0,https://www.amazon.in/Bru-Gold-Coffee-500g/dp/B0773S1JCK/ref=sr_1_1_mod_primary_new?dib=eyJ2IjoiMSJ9.srmpY5N-mflHuVr4ZWL-nZ_xIZnjGRn1vjZrrDr-ldBKlfnyb43h1OB5CB4WwBQ0hTvGyI2pclT7arv2ygehAIBmfjgXiB-KAKYXGaLV9KuiWWTWaXekS1ecwZW7FJIuAyUY3ChzeEAg0qCYDrXbQ74VKQEnLJusPGXpcfLte-wAHU-RFQHmR3tXoyrVoQ0j8JahaYhqB8nsv-yPDdURtqA_QBsnERG_CivjPC6rqbepMCJ6xk8853YgxSZJiQ5STgPGnFNnJzA14nXos3QbUXq6GAD8tL-a_TXIqwB-qCY.s_e_72SX-zGeY-bKcC8lPYhUWZWFEEizbOSMgncPKQg&dib_tag=se&keywords=Bru+Gold+instant+coffee&nsdOptOutParam=true&qid=1789844094&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-1,B0773S1JCK,Bru Gold,Bru Gold instant coffee,500.0,500.0,,2.69
Bru Gold Edition 100% Pure Coffee 100g (with Exclusive Double Walled Glass Mug) (Pack of 2),https://m.media-amazon.com/images/I/613j9sp0R2L._AC_UL960_FMwebp_QL65_.jpg,708.0,,,https://www.amazon.in/Bru-Coffee-Exclusive-Double-Walled/dp/B0H6FWJV4F/ref=sr_1_15?dib=eyJ2IjoiMSJ9.srmpY5N-mflHuVr4ZWL-nZ_xIZnjGRn1vjZrrDr-ldBKlfnyb43h1OB5CB4WwBQ0hTvGyI2pclT7arv2ygehAIBmfjgXiB-KAKYXGaLV9KuiWWTWaXekS1ecwZW7FJIuAyUY3ChzeEAg0qCYDrXbQ74VKQEnLJusPGXpcfLte-wAHU-RFQHmR3tXoyrVoQ0j8JahaYhqB8nsv-yPDdURtqA_QBsnERG_CivjPC6rqbepMCJ6xk8853YgxSZJiQ5STgPGnFNnJzA14nXos3QbUXq6GAD8tL-a_TXIqwB-qCY.s_e_72SX-zGeY-bKcC8lPYhUWZWFEEizbOSMgncPKQg&dib_tag=se&keywords=Bru+Gold+instant+coffee&nsdOptOutParam=true&qid=1789844094&sr=8-15,B0H6FWJV4F,Bru Gold,Bru Gold instant coffee,200.0,100.0,2.0,3.54
Bru Gold Edition 100% Pure Coffee 100g (with Exclusive Double Walled Glass Mug) (Pack of 3),https://m.media-amazon.com/images/I/51xqNG6Op2L._AC_UL960_FMwebp_QL65_.jpg,1062.0,,,https://www.amazon.in/Bru-Coffee-Exclusive-Double-Walled/dp/B0H6GL5VJ8/ref=sr_1_30?dib=eyJ2IjoiMSJ9.srmpY5N-mflHuVr4ZWL-nZ_xIZnjGRn1vjZrrDr-ldBKlfnyb43h1OB5CB4WwBQ0hTvGyI2pclT7arv2ygehAIBmfjgXiB-KAKYXGaLV9KuiWWTWaXekS1ecwZW7FJIuAyUY3ChzeEAg0qCYDrXbQ74VKQEnLJusPGXpcfLte-wAHU-RFQHmR3tXoyrVoQ0j8JahaYhqB8nsv-yPDdURtqA_QBsnERG_CivjPC6rqbepMCJ6xk8853YgxSZJiQ5STgPGnFNnJzA14nXos3QbUXq6GAD8tL-a_TXIqwB-qCY.s_e_72SX-zGeY-bKcC8lPYhUWZWFEEizbOSMgncPKQg&dib_tag=se&keywords=Bru+Gold+instant+coffee&nsdOptOutParam=true&qid=1789844094&sr=8-30,B0H6GL5VJ8,Bru Gold,Bru Gold instant coffee,300.0,100.0,3.0,3.54
Bru Gold Edition | Premium Freeze Dried Coffee | Experience Intense Coffee Taste | Aromatic Instant Coffee Bottle| 100g,https://m.media-amazon.com/images/I/51VfLWoseuL._AC_UL960_FMwebp_QL65_.jpg,459.0,4.2,425.0,https://www.amazon.in/Bru-Premium-Experience-Intense-Aromatic/dp/B0B8NW6V8D/ref=sr_1_2?dib=eyJ2IjoiMSJ9.srmpY5N-mflHuVr4ZWL-nZ_xIZnjGRn1vjZrrDr-ldBKlfnyb43h1OB5CB4WwBQ0hTvGyI2pclT7arv2ygehAIBmfjgXiB-KAKYXGaLV9KuiWWTWaXekS1ecwZW7FJIuAyUY3ChzeEAg0qCYDrXbQ74VKQEnLJusPGXpcfLte-wAHU-RFQHmR3tXoyrVoQ0j8JahaYhqB8nsv-yPDdURtqA_QBsnERG_CivjPC6rqbepMCJ6xk8853YgxSZJiQ5STgPGnFNnJzA14nXos3QbUXq6GAD8tL-a_TXIqwB-qCY.s_e_72SX-zGeY-bKcC8lPYhUWZWFEEizbOSMgncPKQg&dib_tag=se&keywords=Bru+Gold+instant+coffee&nsdOptOutParam=true&qid=1789844094&sr=8-2,B0B8NW6V8D,Bru Gold,Bru Gold instant coffee,100.0,100.0,,4.59
Bru Gold Edition | Premium Freeze Dried Coffee | Experience Intense Coffee Taste | Aromatic Instant Coffee | 100g (Pack of 3),https://m.media-amazon.com/images/I/51R1EUOGJKL._AC_UL960_FMwebp_QL65_.jpg,1377.0,,,https://www.amazon.in/Bru-Premium-Experience-Intense-Aromatic/dp/B0H6GLQVVF/ref=sr_1_23?dib=eyJ2IjoiMSJ9.srmpY5N-mflHuVr4ZWL-nZ_xIZnjGRn1vjZrrDr-ldBKlfnyb43h1OB5CB4WwBQ0hTvGyI2pclT7arv2ygehAIBmfjgXiB-KAKYXGaLV9KuiWWTWaXekS1ecwZW7FJIuAyUY3ChzeEAg0qCYDrXbQ74VKQEnLJusPGXpcfLte-wAHU-RFQHmR3tXoyrVoQ0j8JahaYhqB8nsv-yPDdURtqA_QBsnERG_CivjPC6rqbepMCJ6xk8853YgxSZJiQ5STgPGnFNnJzA14nXos3QbUXq6GAD8tL-a_TXIqwB-qCY.s_e_72SX-zGeY-bKcC8lPYhUWZWFEEizbOSMgncPKQg&dib_tag=se&keywords=Bru+Gold+instant+coffee&nsdOptOutParam=true&qid=1789844094&sr=8-23,B0H6GLQVVF,Bru Gold,Bru Gold instant coffee,300.0,100.0,3.0,4.59
Bru Gold Edition | Premium Freeze Dried Coffee | Experience Intense Coffee Taste | Aromatic Instant Coffee | 100g (Pack of 2),https://m.media-amazon.com/images/I/61lmrDSMcIL._AC_UL960_FMwebp_QL65_.jpg,918.0,,,https://www.amazon.in/Bru-Premium-Experience-Intense-Aromatic/dp/B0H6G48TLR/ref=sr_1_25?dib=eyJ2IjoiMSJ9.srmpY5N-mflHuVr4ZWL-nZ_xIZnjGRn1vjZrrDr-ldBKlfnyb43h1OB5CB4WwBQ0hTvGyI2pclT7arv2ygehAIBmfjgXiB-KAKYXGaLV9KuiWWTWaXekS1ecwZW7FJIuAyUY3ChzeEAg0qCYDrXbQ74VKQEnLJusPGXpcfLte-wAHU-RFQHmR3tXoyrVoQ0j8JahaYhqB8nsv-yPDdURtqA_QBsnERG_CivjPC6rqbepMCJ6xk8853YgxSZJiQ5STgPGnFNnJzA14nXos3QbUXq6GAD8tL-a_TXIqwB-qCY.s_e_72SX-zGeY-bKcC8lPYhUWZWFEEizbOSMgncPKQg&dib_tag=se&keywords=Bru+Gold+instant+coffee&nsdOptOutParam=true&qid=1789844094&sr=8-25,B0H6G48TLR,Bru Gold,Bru Gold instant coffee,200.0,100.0,2.0,4.59
Bru Gold Edition | 100% Pure Coffee | Experience Intense Coffee Taste | Aromatic Instant Coffee | 200g,https://m.media-amazon.com/images/I/51Rwzh3VQYL._AC_UL960_FMwebp_QL65_.jpg,960.0,4.3,435.0,https://www.amazon.in/Bru-Premium-Experience-Intense-Aromatic/dp/B0DSVRBP6P/ref=sr_1_7?dib=eyJ2IjoiMSJ9.srmpY5N-mflHuVr4ZWL-nZ_xIZnjGRn1vjZrrDr-ldBKlfnyb43h1OB5CB4WwBQ0hTvGyI2pclT7arv2ygehAIBmfjgXiB-KAKYXGaLV9KuiWWTWaXekS1ecwZW7FJIuAyUY3ChzeEAg0qCYDrXbQ74VKQEnLJusPGXpcfLte-wAHU-RFQHmR3tXoyrVoQ0j8JahaYhqB8nsv-yPDdURtqA_QBsnERG_CivjPC6rqbepMCJ6xk8853YgxSZJiQ5STgPGnFNnJzA14nXos3QbUXq6GAD8tL-a_TXIqwB-qCY.s_e_72SX-zGeY-bKcC8lPYhUWZWFEEizbOSMgncPKQg&dib_tag=se&keywords=Bru+Gold+instant+coffee&nsdOptOutParam=true&qid=1789844094&sr=8-7,B0DSVRBP6P,Bru Gold,Bru Gold instant coffee,200.0,200.0,,4.8
Bru Gold | Premium Freeze Dried Coffee | Experience Intense Coffee Taste | Aromatic Instant Coffee | 200g (Pack of 2),https://m.media-amazon.com/images/I/61OrclsOCrL._AC_UL960_FMwebp_QL65_.jpg,1920.0,,,https://www.amazon.in/Bru-Premium-Experience-Intense-Aromatic/dp/B0H6G9RF1Z/ref=sr_1_17?dib=eyJ2IjoiMSJ9.srmpY5N-mflHuVr4ZWL-nZ_xIZnjGRn1vjZrrDr-ldBKlfnyb43h1OB5CB4WwBQ0hTvGyI2pclT7arv2ygehAIBmfjgXiB-KAKYXGaLV9KuiWWTWaXekS1ecwZW7FJIuAyUY3ChzeEAg0qCYDrXbQ74VKQEnLJusPGXpcfLte-wAHU-RFQHmR3tXoyrVoQ0j8JahaYhqB8nsv-yPDdURtqA_QBsnERG_CivjPC6rqbepMCJ6xk8853YgxSZJiQ5STgPGnFNnJzA14nXos3QbUXq6GAD8tL-a_TXIqwB-qCY.s_e_72SX-zGeY-bKcC8lPYhUWZWFEEizbOSMgncPKQg&dib_tag=se&keywords=Bru+Gold+instant+coffee&nsdOptOutParam=true&qid=1789844094&sr=8-17,B0H6G9RF1Z,Bru Gold,Bru Gold instant coffee,400.0,200.0,2.0,4.8
Bru Gold Edition | Premium Freeze Dried Coffee | Experience Intense Coffee Taste | Aromatic Instant Coffee | 55g,https://m.media-amazon.com/images/I/515epHd5NoL._AC_UL960_FMwebp_QL65_.jpg,266.0,4.1,415.0,https://www.amazon.in/Bru-Freeze-Powder-Bottle-Coffee/dp/B0CBPYTYBV/ref=sr_1_3?dib=eyJ2IjoiMSJ9.srmpY5N-mflHuVr4ZWL-nZ_xIZnjGRn1vjZrrDr-ldBKlfnyb43h1OB5CB4WwBQ0hTvGyI2pclT7arv2ygehAIBmfjgXiB-KAKYXGaLV9KuiWWTWaXekS1ecwZW7FJIuAyUY3ChzeEAg0qCYDrXbQ74VKQEnLJusPGXpcfLte-wAHU-RFQHmR3tXoyrVoQ0j8JahaYhqB8nsv-yPDdURtqA_QBsnERG_CivjPC6rqbepMCJ6xk8853YgxSZJiQ5STgPGnFNnJzA14nXos3QbUXq6GAD8tL-a_TXIqwB-qCY.s_e_72SX-zGeY-bKcC8lPYhUWZWFEEizbOSMgncPKQg&dib_tag=se&keywords=Bru+Gold+instant+coffee&nsdOptOutParam=true&qid=1789844094&sr=8-3,B0CBPYTYBV,Bru Gold,Bru Gold instant coffee,55.0,55.0,,4.84
