brand,title,weight_g,price_inr,cost_per_gram,rating,review_count,url,search_query
Bru Gold,BRU Gold Pure Instant Coffee Powder 500g Pack,500.0,1249.0,2.5,,,https://www.amazon.in/Gold-Pure-Instant-Coffee-Powder/dp/B0HFG7RVBP/ref=sr_1_7?dib=eyJ2IjoiMSJ9.cNEDa0YYSFUquDxU8v2b73nNJ8jcJflhB_MlsaFfd7CJSjsXD--RT8QHBjbl5MTd93WT5FHvyBTtIUve7AoHwn3ERgEipmHGyxEIsOfuhTMBFKh_hV-AnI_uLRlznaJLwvlfM3Ht8188B_Ct3Lzt4YMqaNsOM8Wn9e12dykDhbfAAHZaFYf-LIslu9Y26i-l6okz0xiQVCAhMnsg3piwR8A39pVZqfpBfhn8yL6W5KXEuREAhaAEo8z3cOkDmSS8iL-C0jvip241lLjim03xZdUXzzvWxx87b6_a1c6mjTI.mSl-uKiSolPqDr8bctQb6eizHqJ541-R-Ve3tIVcjL0&dib_tag=se&keywords=Bru+Gold+coffee&nsdOptOutParam=true&qid=1789840716&sr=8-7,Bru Gold coffee
Davidoff,"Davidoff Espresso 57 Dark & Chocolatey Instant Coffee – 100% Arabica, Rich Premium Coffee 100g Jar | Imported from Germany",100.0,767.0,7.67,4.5,,https://www.amazon.in/Davidoff-Espresso-Chocolatey-Instant-Coffee/dp/B0G12G1QZ7/ref=sr_1_12?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sr=8-12,Davidoff coffee powder
Davidoff,"DAVIDOFF Espresso 57 Instant Coffee, 100% Arabica, Dark & Chocolatey, 90g",90.0,754.0,8.38,4.6,100.0,https://www.amazon.in/DAVIDOFF-Espresso-Instant-Arabica-Chocolatey/dp/B0GJT171LQ/ref=sr_1_24?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sr=8-24,Davidoff coffee powder
Davidoff,"Davidoff Decaf Elegant Instant Coffee (100g) Jar By FEBORA - Velvety & Delightful Flavor, Medium Intensity 6 | Smooth Aroma Coffee for Anytime Enjoyment...",100.0,970.0,9.7,4.4,,https://www.amazon.in/Davidoff-Elegant-Instant-Coffee-FEBORA/dp/B0GTV671TT/ref=sr_1_21?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sr=8-21,Davidoff coffee powder
Davidoff,Davidoff,,849.0,,4.6,,https://www.amazon.in/Davidoff-Espresso-Intense-Instant-Arabica/dp/B09G5BS32M/ref=sr_1_1?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sr=8-1,Davidoff coffee powder
Davidoff,Davidoff,,835.0,,4.4,,https://www.amazon.in/Davidoff-Aroma-Instant-Coffee-Arabica/dp/B09G5DNBK4/ref=sr_1_2_mod_primary_new?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-2,Davidoff coffee powder
Davidoff,Davidoff,,749.0,,4.1,,https://www.amazon.in/Davidoff-Crema-Intense-Bottle-90/dp/B07NQDJFJN/ref=sr_1_3?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sr=8-3,Davidoff coffee powder
Davidoff,Davidoff,,769.0,,4.6,,https://www.amazon.in/Davidoff-Espresso-Intense-Instant-Intensity/dp/B0FNX13ZBK/ref=sr_1_4?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sr=8-4,Davidoff coffee powder
Davidoff,Davidoff,,449.0,,4.4,,https://www.amazon.in/Davidoff-Espresso-Arabica-Intensity-Granules/dp/B0FHKZKM6H/ref=sr_1_5?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sr=8-5,Davidoff coffee powder
Davidoff,Davidoff,,499.0,,,,https://www.amazon.in/Davidoff-Intensity-Pistachio-Chocolate-Switzerland/dp/B0HJCTGMHL/ref=sr_1_7?dib=eyJ2IjoiMSJ9.umIbmiqO3ANRJpq7r8oy-084P2O58u51Nm5mue2WVoRqr7j9t4WcN8s82m4vg7A2zaE9bmCIhK_r9l3T33foQ5cADAaZZN6TKIHqTXEnORnJ6slm7e5CmUYYfjbjzGcb1LHnInrparq5jBD50f8giK0jeyD7rn0Sr7cKREgaHBkDexIHTXQv9cq-dBvc9w_g46omSUWIEhVb15j9bcQA7ZOAWZM0se6H9J-SdXPTA8RCFkjqpJkLrD2rYiEDtd2hT31fcapT1Qfb9OBg-oZqpUytwnZqkh2UQ94izblvSXM.JNC_tB1CudIwZ7NkuGS41VJ3hZFQEqvGsBuPPZIqNs8&dib_tag=se&keywords=Davidoff+coffee+powder&nsdOptOutParam=true&qid=1789840735&sr=8-7,Davidoff coffee powder
